MD,TVD,Planned Depth,Final Depth,Length Drilled,Azimuth,Inclination,ROP,WOB,Pore Pressure,Mud Weight
1527.3,1527.3,,,,0,0,34.2,60,,1.03
1606.01,1606.01,,,,163.47,0.97,34.2,60,,1.03
1622.01,1622,,,,244.9,0.98,34.2,60,,1.03
1666.54,1666.48,,,,284.1,4.36,12.5,20,,1.03
1707.03,1706.82,,,,285.37,5.55,20.9,12,,1.03
1748.77,1748.25,,,,282.75,8.31,20.9,12,,1.03
1790.16,1788.97,,,,289.4,12.21,20.9,12,,1.03
1831.35,1829.13,,,,290.69,13.5,20.9,12,,1.03
1871.26,1867.64,,,,284.82,16.94,20.9,12,,1.03
1913.97,1908.14,,,,289.49,20.02,20.9,12,,1.03
1954.95,1946.14,,,,287.67,23.92,20.9,12,,1.03
1996.78,1984.3,,,,287,24.41,20.9,12,,1.03
2037.56,2021.19,,,,287.47,26.09,20.9,12,,1.03
2077.73,2056.86,,,,287.54,28.64,20.9,12,,1.03
2119.95,2092.94,,,,288.46,33.84,20.9,12,,1.03
2161.91,2127.61,,,,288.63,34.74,20.9,12,,1.03
2176.05,2139.22,,,,287.7,34.86,20.9,12,,1.03
2210.56,2167.38,,,,287.16,35.79,56.5,15,1.05,1.13
2249.85,2198.67,,,,287.53,38.6,56.5,15,1.05,1.13
2293.06,2231.15,,,,287.7,43.9,56.5,15,1.05,1.13
2333.94,2259.35,,,,288.01,48.84,56.5,15,1.05,1.13
2376.39,2286,,,,288.48,53.34,56.5,15,1.05,1.13
2416.64,2308.71,,,,288.53,57.96,56.5,15,1.05,1.13
2456.34,2328.61,,,,288.32,61.85,56.5,15,1.05,1.13
2498.01,2346.71,,,,288.36,66.64,56.5,15,1.05,1.13
2541.77,2362.15,,,,288.03,72.02,56.5,15,1.05,1.13
2581.43,2372.71,,,,287.62,77.1,56.5,15,1.05,1.13
2622.14,2380.17,,,,287.11,81.77,56.5,15,1.05,1.13
2663.19,2384.72,,,,285.04,85.5,56.5,15,1.05,1.13
2704.32,2387.73,,,,283.29,86.1,56.5,15,1.05,1.13
2745.56,2390.54,,,,283.6,86.09,56.5,15,1.05,1.13
2785.87,2393.29,,,,283.87,86.09,56.5,15,1.05,1.13
2828.54,2396.45,,,,284.34,85.41,56.5,15,1.05,1.13
2870.52,2399.9,,,,284.35,85.17,56.5,15,1.05,1.13
2911.52,2403.34,,,,284.33,85.2,56.5,15,1.05,1.13
2953.64,2406.88,,,,284.37,85.17,47.5,15,1.04,1.13
2994.01,2410.24,,,,284.44,85.26,47.5,15,1.04,1.13
3035.67,2413.68,,,,284.45,85.29,47.5,15,1.04,1.13
3076.34,2417.01,,,,284.48,85.29,47.5,15,1.04,1.13
3117.01,2420,,,,284.38,86.29,47.5,15,1.04,1.13
3158.95,2422.72,,,,284.31,86.28,47.5,15,1.04,1.13
3199.58,2425.34,,,,284.03,86.31,47.5,15,1.04,1.13
3243.38,2428.15,,,,283.96,86.34,47.5,15,1.04,1.13
3283.25,2430.7,,,,284.3,86.34,47.5,15,1.04,1.13
3324.58,2433.33,,,,286.45,86.34,47.5,15,1.04,1.13
3367.8,2436.1,,,,288.17,86.31,47.5,15,1.04,1.13
3406.96,2438.64,,,,289.08,86.28,47.5,15,1.04,1.13
3449.7,2441.41,,,,291.06,86.28,47.5,15,1.04,1.13
3489.77,2443.99,,,,292.92,86.34,47.5,15,1.04,1.13
3530.57,2446.58,,,,294.79,86.37,47.5,15,1.04,1.13
3571.24,2449.29,,,,297.02,86,47.5,15,1.04,1.13
3613.63,2452.54,,,,299.54,85.2,47.5,15,1.04,1.13
3664.11,2456.36,,,,304.01,86.13,47.5,10,1.04,1.13
3704.87,2459.1,,,,306.43,86.16,47.5,10,1.04,1.13
3746.71,2461.89,,,,307.45,86.19,47.5,10,1.04,1.13
3786.61,2464.79,,,,311.07,85.47,47.5,10,1.04,1.13
3827.64,2468.05,,,,315.67,85.42,47.5,10,1.04,1.13
3870.84,2471.49,,,,320.05,85.45,47.5,10,1.04,1.13
3912.11,2474.8,,,,324,85.36,47.5,10,1.04,1.13
3952.7,2478.11,,,,327.37,85.3,47.5,10,1.04,1.13
3995.07,2480.63,,,,328.88,87.86,47.5,10,1.04,1.13
4036.59,2481.38,,,,331.91,90.08,47.5,10,1.04,1.13
4077.31,2480.61,,,,335.08,92.09,47.5,10,1.04,1.13
4117.4,2479.18,,,,339.65,91.99,47.5,10,1.04,1.13
4160.85,2478.38,,,,342.74,90.13,47.5,10,1.04,1.13
4202.1,2480.02,,,,343.57,85.29,47.5,10,1.04,1.13
4242.66,2484.39,,,,344.13,82.34,47.5,10,1.04,1.13
4282.27,2489.66,,,,344.32,82.38,47.5,10,1.04,1.13
4321.89,2494.91,,,,344.58,82.38,47.5,10,1.04,1.13
4363.6,2500.44,,,,344.74,82.39,47.5,10,1.04,1.13
4406.99,2506.13,,,,344.1,82.54,47.5,10,1.04,1.13
4448.54,2510.02,,,,344.26,86.73,47.5,10,1.04,1.13
4490.07,2512.83,,,,344.21,85.5,47.5,10,1.04,1.13
4531.25,2516.96,,,,344.75,82.99,47.5,10,1.04,1.13
4573.24,2521.76,,,,344.29,83.87,47.5,10,1.04,1.13
4614.7,2525.54,,,,344.01,85.67,47.5,10,1.04,1.13
4655.68,2528.14,,,,343.6,87.06,47.5,10,1.04,1.13
4697.55,2530.98,,,,343.6,85.16,47.5,10,1.04,1.13
4737.89,2534.44,,,,343.47,84.99,47.5,10,1.04,1.13
4779.61,2537.4,,,,343.44,86.87,47.5,10,1.04,1.13
4820.94,2538.63,,,,343.37,89.74,47.5,10,1.04,1.13
4844,,,,,,,47.5,10,1.05,1.13
