MD_Norm,BMK_STAT Norm,HRA_norm,YME_Norm,RHOB_Norm,Vertical_Norm,SMG Norm,PR_DYN,TNPH
0.6975,0.3951788,0.2,0.5960085,0.25689,0.787271,0.3816674,0.2486334,0.0415
0.69755,0.39472,0.4,0.5850381,0.25499,0.7873275,0.3733446,0.2529734,0.0427
0.6976,0.4071591,0.4,0.579255,0.25471,0.787384,0.3667522,0.2628875,0.0398
0.69765,0.4068303,0.4,0.577672,0.25546,0.7874405,0.3656177,0.2633444,0.0356
0.6977,0.420418,0.2,0.5865154,0.25747,0.787497,0.3700015,0.2674871,0.0302
0.69775,0.4550158,0.2,0.6035176,0.25964,0.7875535,0.3773181,0.278939,0.0242
0.6978,0.4732634,0.2,0.6184942,0.26161,0.78761,0.3857016,0.2821882,0.0218
0.69785,0.4652476,0.2,0.6272248,0.2624,0.7876665,0.3932565,0.2753079,0.0213
0.6979,0.4507172,0.2,0.6299562,0.2626,0.787723,0.3975417,0.2670542,0.0232
0.69795,0.442363,0.2,0.6233599,0.26265,0.7877795,0.3939743,0.2651401,0.0238
0.698,0.4350238,0.2,0.6168598,0.26363,0.787836,0.3903202,0.2636682,0.0261
0.69805,0.429975,0.2,0.6150958,0.26416,0.7878925,0.3898493,0.2615769,0.0235
0.6981,0.4238562,0.2,0.6156018,0.26458,0.787949,0.3912992,0.257936,0.0226
0.69815,0.4159952,0.2,0.6166603,0.26409,0.7880055,0.3935357,0.2529377,0.0231
0.6982,0.4136243,0.2,0.6190352,0.26179,0.788062,0.3958009,0.2505646,0.0244
0.69825,0.4212718,0.2,0.625951,0.25858,0.7881185,0.3996502,0.2523566,0.0251
0.6983,0.4397085,0.2,0.6340696,0.2562,0.788175,0.4024853,0.259663,0.027
0.69835,0.4592853,0.2,0.6416628,0.25658,0.7882315,0.4048981,0.2671518,0.0287
0.6984,0.472993,0.2,0.6394654,0.25756,0.788288,0.4011302,0.2746742,0.03
0.69845,0.4686716,0.2,0.6299374,0.25735,0.7883445,0.3947477,0.2759847,0.0324
0.6985,0.4369273,0.2,0.6178976,0.25728,0.788401,0.3907809,0.2643019,0.0374
0.69855,0.3983026,0.4,0.5989678,0.25763,0.7884575,0.3833374,0.2493665,0.0402
0.6986,0.3787116,0.4,0.5783001,0.25868,0.788514,0.3712601,0.2454967,0.0425
0.69865,0.3744784,0.4,0.5632212,0.25993,0.7885705,0.36047,0.2493308,0.0392
0.6987,0.3739402,0.4,0.5677564,0.26131,0.788627,0.3640668,0.2469487,0.0373
0.69875,0.387314,0.4,0.5905656,0.26252,0.7886835,0.3790204,0.2458713,0.0339
0.6988,0.4280409,0.4,0.6046569,0.26184,0.78874,0.3823277,0.2645642,0.0313
0.69885,0.4412126,0.2,0.602918,0.2614,0.7887965,0.3789253,0.2722497,0.028
0.6989,0.4418954,0.2,0.5990816,0.26072,0.788853,0.3759825,0.2740485,0.0246
0.69895,0.441021,0.2,0.5992401,0.26049,0.7889095,0.376232,0.2735406,0.0255
0.699,0.4338306,0.2,0.6102827,0.2607,0.788966,0.3855859,0.2655449,0.0257
0.69905,0.4265672,0.2,0.6200405,0.2604,0.7890225,0.394182,0.2577402,0.0276
0.6991,0.4204846,0.2,0.6197203,0.25952,0.789079,0.3950392,0.2543626,0.0257
0.69915,0.4134601,0.2,0.6171064,0.25965,0.7891355,0.3943538,0.251243,0.0293
0.6992,0.412896,0.4,0.6162262,0.2597,0.789192,0.3937865,0.2512585,0.033
0.69925,0.4104768,0.4,0.6226287,0.26067,0.7892485,0.3991748,0.2471929,0.0419
0.6993,0.3961317,0.4,0.6239228,0.26004,0.789305,0.4031398,0.2374935,0.0433
0.69935,0.3979954,0.4,0.626178,0.25961,0.7893615,0.4045038,0.2377783,0.0428
0.6994,0.4096984,0.4,0.6301144,0.25967,0.789418,0.405119,0.2436675,0.0409
0.69945,0.4149931,0.4,0.6251344,0.25775,0.7894745,0.4002213,0.2489378,0.038
0.6995,0.4250504,0.4,0.6189684,0.25645,0.789531,0.3936394,0.2572961,0.0354
0.69955,0.4273439,0.2,0.6093221,0.25517,0.7895875,0.38595,0.2623608,0.034
0.6996,0.4228,0.4,0.5945372,0.25631,0.789644,0.3756109,0.265635,0.0382
0.69965,0.4222783,0.5,0.5802681,0.2584,0.7897005,0.3650552,0.2709772,0.0434
0.6997,0.4100944,0.5,0.573655,0.25897,0.789757,0.3620676,0.2668606,0.0513
0.69975,0.3909048,0.4,0.5722098,0.25756,0.7898135,0.364269,0.2560319,0.0527
0.6998,0.3777711,0.4,0.5748533,0.25604,0.78987,0.3687847,0.2463838,0.0472
0.69985,0.3754711,0.4,0.5852777,0.25634,0.7899265,0.3773435,0.2402029,0.0403
0.6999,0.38971,0.2,0.6006356,0.25748,0.789983,0.3863342,0.2431271,0.0352
0.69995,0.4055746,0.2,0.610982,0.25893,0.7900395,0.3911653,0.2489232,0.0322
0.7,0.4193996,0.2,0.6173166,0.2601,0.790096,0.3934067,0.2546824,0.0301
0.70005,0.4292746,0.2,0.6230048,0.26178,0.7901525,0.3959477,0.2581173,0.0293
0.7001,0.426996,0.2,0.6238464,0.26205,0.790209,0.3969935,0.256498,0.0283
0.70015,0.4213892,0.2,0.6283235,0.26159,0.7902655,0.4014433,0.2514874,0.0273
0.7002,0.4199592,0.2,0.6382404,0.26169,0.790322,0.4093436,0.2467054,0.0255
0.70025,0.431379,0.2,0.6483138,0.26088,0.7903785,0.414868,0.249519,0.0215
0.7003,0.4457548,0.2,0.6583076,0.26076,0.790435,0.4198049,0.2538602,0.0189
0.70035,0.4480174,0.2,0.6611159,0.25999,0.7904915,0.4215292,0.2540586,0.0199
0.7004,0.4516723,0.2,0.666812,0.26081,0.790548,0.4251987,0.253947,0.0222
0.70045,0.4540792,0.2,0.6688036,0.26019,0.7906045,0.4262738,0.2545202,0.0251
0.7005,0.442844,0.2,0.6623566,0.25806,0.790661,0.4234478,0.2507186,0.029
0.70055,0.4255966,0.2,0.6471244,0.25511,0.7907175,0.4150828,0.2465815,0.0311
0.7006,0.4140651,0.4,0.630529,0.25262,0.790774,0.4045605,0.2462038,0.0343
0.70065,0.4059213,0.4,0.6227253,0.25311,0.7908305,0.4001598,0.2443161,0.0396
0.7007,0.409001,0.4,0.6236074,0.25492,0.790887,0.4002229,0.2458819,0.0476
0.70075,0.4217332,0.4,0.630207,0.25731,0.7909435,0.4028213,0.2509457,0.0491
0.7008,0.4310852,0.2,0.6336575,0.25788,0.791,0.4037136,0.2550147,0.0457
0.70085,0.439654,0.2,0.6411907,0.25784,0.7910565,0.4078896,0.2569335,0.0348
0.7009,0.4530574,0.2,0.6581031,0.25847,0.791113,0.4183257,0.257903,0.0285
0.70095,0.464507,0.2,0.6604306,0.25923,0.7911695,0.418099,0.2630354,0.0258
0.701,0.4716011,0.2,0.6444218,0.26083,0.791226,0.4050073,0.2722575,0.0243
0.70105,0.466231,0.2,0.6318941,0.26126,0.7912825,0.3965557,0.2741126,0.0225
0.7011,0.4546016,0.2,0.6285424,0.26091,0.791339,0.3958657,0.269563,0.023
0.70115,0.4517958,0.2,0.6236888,0.26059,0.7913955,0.3926978,0.2699223,0.0255
0.7012,0.4531408,0.2,0.6191958,0.26182,0.791452,0.3891531,0.2722577,0.0256
0.70125,0.4475482,0.2,0.6153068,0.2631,0.7915085,0.3871342,0.2708602,0.0262
0.7013,0.44171,0.2,0.6155825,0.26365,0.791565,0.3882648,0.2677275,0.0286
0.70135,0.434762,0.2,0.6262036,0.26324,0.7916215,0.3974037,0.2599439,0.0296
0.7014,0.430683,0.2,0.6425258,0.26318,0.791678,0.4105615,0.2513538,0.0323
0.70145,0.4319788,0.2,0.644887,0.26235,0.7917345,0.4121246,0.2511887,0.0367
0.7015,0.4225205,0.2,0.6355416,0.26043,0.791791,0.4067642,0.2493056,0.037
0.70155,0.4192242,0.2,0.6272286,0.25996,0.7918475,0.4010157,0.2506392,0.0356
0.7016,0.4326526,0.2,0.6210894,0.25934,0.791904,0.3939081,0.2607436,0.0349
0.70165,0.4285582,0.2,0.6231916,0.2589,0.7919605,0.3962167,0.2576402,0.0314
0.7017,0.41577,0.2,0.626208,0.25803,0.792017,0.4008962,0.2489766,0.0301
0.70175,0.418717,0.2,0.6307178,0.25894,0.7920735,0.4037924,0.2489483,0.0284
0.7018,0.4278121,0.2,0.6334792,0.26044,0.79213,0.4041812,0.2532098,0.0262
0.70185,0.4238889,0.2,0.632375,0.26137,0.7921865,0.4040731,0.2513599,0.0253
0.7019,0.4074318,0.2,0.6286906,0.261,0.792243,0.404478,0.2428239,0.025
0.70195,0.4066965,0.2,0.6237772,0.26118,0.7922995,0.4008176,0.2443723,0.0237
0.702,0.4120808,0.2,0.6153219,0.26227,0.792356,0.3932482,0.2511322,0.0213
0.70205,0.4262692,0.2,0.6091922,0.26306,0.7924125,0.3860355,0.2618124,0.0199
0.7021,0.4426754,0.2,0.6031904,0.26293,0.792469,0.3789029,0.2728997,0.0195
0.70215,0.4710446,0.2,0.6005698,0.26251,0.7925255,0.3729774,0.2875042,0.0189
0.7022,0.4899802,0.2,0.6037426,0.26191,0.792582,0.3728819,0.2946371,0.0191
0.70225,0.4731756,0.2,0.606562,0.26108,0.7926385,0.3770365,0.2863506,0.02
0.7023,0.4362872,0.2,0.6025952,0.25978,0.792695,0.3794524,0.2698018,0.021
0.70235,0.4084194,0.2,0.6003809,0.25898,0.7927515,0.3825176,0.2549982,0.0212
0.7024,0.394876,0.2,0.6169859,0.25903,0.792808,0.3979844,0.2395866,0.0203
0.70245,0.4033158,0.2,0.6498164,0.25951,0.7928645,0.4219247,0.2314691,0.0194
0.7025,0.427712,0.2,0.6693245,0.2613,0.792921,0.4318851,0.2391842,0.0167
0.70255,0.4367434,0.2,0.6472307,0.26243,0.7929775,0.4130214,0.2530088,0.0168
0.7026,0.450211,0.2,0.6141486,0.26329,0.793034,0.3858639,0.2726441,0.0148
0.70265,0.4487557,0.2,0.6037463,0.26223,0.7930905,0.3783987,0.2757702,0.0155
0.7027,0.4313712,0.2,0.6146841,0.26182,0.793147,0.3893011,0.2625076,0.0164
0.70275,0.4209173,0.2,0.6230832,0.26162,0.7932035,0.3975248,0.2532836,0.0207
0.7028,0.4163784,0.2,0.6284186,0.26153,0.79326,0.4024784,0.2484585,0.0206
0.70285,0.413995,0.2,0.6265714,0.26162,0.7933165,0.4015219,0.247754,0.0213
0.7029,0.4138196,0.2,0.6154264,0.26154,0.793373,0.3929998,0.2521358,0.0226
0.70295,0.4150386,0.2,0.5987582,0.26062,0.7934295,0.3801029,0.2595572,0.0253
0.703,0.4069659,0.2,0.57695,0.25806,0.793486,0.3650525,0.263719,0.0293
0.70305,0.3924754,0.2,0.5625167,0.25612,0.7935425,0.3566523,0.2611245,0.0286
0.7031,0.3809165,0.2,0.5650442,0.25657,0.793599,0.3606441,0.2527698,0.0269
0.70315,0.3767263,0.2,0.5843208,0.25838,0.7936555,0.3763354,0.2414919,0.0235
0.7032,0.3997495,0.2,0.6158062,0.25989,0.793712,0.3960519,0.2432533,0.0201
0.70325,0.4335,0.2,0.6434606,0.26168,0.7937685,0.4107465,0.2526101,0.0176
0.7033,0.4338774,0.2,0.65213,0.2633,0.793825,0.417318,0.2494953,0.0144
0.70335,0.4167316,0.2,0.6459782,0.2635,0.7938815,0.4159938,0.2416489,0.0137
0.7034,0.4090881,0.2,0.6315108,0.26127,0.793938,0.4063279,0.242716,0.015
0.70345,0.4057521,0.2,0.621986,0.26042,0.7939945,0.3996214,0.2445132,0.0159
0.7035,0.408788,0.2,0.6199556,0.26096,0.794051,0.3974466,0.2472384,0.0186
0.70355,0.4153466,0.2,0.6238668,0.26183,0.7941075,0.3991789,0.2496601,0.0183
0.7036,0.4154669,0.2,0.630624,0.26157,0.794164,0.4043564,0.2470218,0.0211
0.70365,0.4148568,0.2,0.6376596,0.26027,0.7942205,0.4099186,0.2438235,0.0238
0.7037,0.4139568,0.2,0.6465684,0.26007,0.794277,0.4170349,0.2396797,0.0263
0.70375,0.4083581,0.2,0.6480104,0.26022,0.7943335,0.4193718,0.2355219,0.0255
0.7038,0.3977676,0.2,0.6407024,0.26053,0.79439,0.4159817,0.2315426,0.0244
0.70385,0.3772522,0.2,0.6264456,0.26084,0.7944465,0.4094854,0.223242,0.0244
0.7039,0.3622292,0.2,0.6109233,0.26071,0.794503,0.4007598,0.2189058,0.0269
0.70395,0.3744472,0.2,0.6067116,0.26029,0.7945595,0.3944225,0.2299523,0.0286
0.704,0.3890854,0.2,0.6076349,0.26011,0.794616,0.3919114,0.2397165,0.0336
0.70405,0.4046072,0.2,0.6116996,0.26023,0.7946725,0.3919057,0.2480274,0.0372
0.7041,0.4247812,0.2,0.6181165,0.26039,0.794729,0.3930412,0.2574765,0.0409
0.70415,0.432242,0.4,0.6248776,0.26012,0.7947855,0.396842,0.2590557,0.0419
0.7042,0.4337202,0.4,0.6331835,0.25858,0.794842,0.4028756,0.256685,0.0433
0.70425,0.4435642,0.4,0.6458481,0.25879,0.7948985,0.4107238,0.2573264,0.0483
0.7043,0.4617757,0.4,0.6510188,0.25873,0.794955,0.4114909,0.2650306,0.0515
0.70435,0.4762201,0.4,0.6414821,0.25888,0.7950115,0.4021365,0.2754952,0.057
0.7044,0.4692309,0.5,0.6169742,0.25718,0.795068,0.3851538,0.2808563,0.0611
0.70445,0.4538218,0.5,0.5912515,0.25408,0.7951245,0.368519,0.2828621,0.0653
0.7045,0.4396162,0.5,0.5704022,0.25194,0.795181,0.3552781,0.2837499,0.0653
0.70455,0.427816,0.5,0.557555,0.2513,0.7952375,0.3475359,0.2827902,0.073
0.7046,0.430165,0.5,0.5619918,0.25382,0.795294,0.350447,0.2822573,0.0789
0.70465,0.4416914,0.4,0.578562,0.25748,0.7953505,0.3609405,0.2816869,0.0875
0.7047,0.4758134,0.4,0.6064186,0.26204,0.795407,0.376586,0.2875853,0.0932
0.70475,0.5151698,0.4,0.6332604,0.26461,0.7954635,0.3909642,0.2951289,0.088
0.7048,0.5270407,0.4,0.6446024,0.26531,0.79552,0.3976512,0.2961566,0.0786
0.70485,0.5257522,0.4,0.6520512,0.26381,0.7955765,0.4031361,0.2932957,0.0725
0.7049,0.5142802,0.4,0.635833,0.26155,0.795633,0.3929127,0.2939408,0.0727
0.70495,0.4459142,0.5,0.5868923,0.25916,0.7956895,0.3664365,0.2806408,0.0764
0.705,0.3881108,0.4,0.553905,0.25731,0.795746,0.3509108,0.2621362,0.0783
0.70505,0.3662211,0.4,0.5690478,0.25766,0.7958025,0.366636,0.2410272,0.0736
0.7051,0.3570072,0.4,0.5923105,0.259,0.795859,0.3870963,0.2234833,0.0626
0.70515,0.3690562,0.4,0.6049206,0.25875,0.7959155,0.3942634,0.2268164,0.0503
0.7052,0.3957728,0.4,0.6103965,0.25709,0.795972,0.392668,0.2429516,0.0414
0.70525,0.4302674,0.2,0.6171862,0.2556,0.7960285,0.391375,0.2609292,0.0335
0.7053,0.435456,0.2,0.6226866,0.25637,0.796085,0.3946303,0.2616726,0.0319
0.70535,0.4314862,0.2,0.6272036,0.25766,0.7961415,0.3987372,0.2577352,0.0279
0.7054,0.4317838,0.2,0.6287531,0.25961,0.796198,0.3998595,0.2573041,0.023
0.70545,0.4119001,0.2,0.6199346,0.26033,0.7962545,0.3968228,0.2491565,0.0196
0.7055,0.3966529,0.2,0.6123537,0.26079,0.796311,0.3940069,0.2426996,0.0163
0.70555,0.4061325,0.2,0.608843,0.26107,0.7963675,0.3894145,0.250146,0.0154
0.7056,0.4195526,0.2,0.6029766,0.26112,0.796424,0.3825041,0.2604684,0.0143
0.70565,0.4375576,0.2,0.6022863,0.26119,0.7964805,0.3790233,0.2705878,0.0156
0.7057,0.449152,0.2,0.6073582,0.26064,0.796537,0.3810036,0.2746278,0.0157
0.70575,0.4571356,0.2,0.6157712,0.26184,0.7965935,0.3860181,0.2754965,0.0157
0.7058,0.451623,0.2,0.6217459,0.26371,0.79665,0.3912806,0.2705513,0.0161
0.70585,0.4401768,0.2,0.6234152,0.2643,0.7967065,0.3943793,0.2639527,0.0183
0.7059,0.4258494,0.2,0.6264757,0.26387,0.796763,0.399202,0.2548133,0.0205
0.70595,0.412966,0.2,0.6188122,0.26221,0.7968195,0.3957557,0.250257,0.0219
0.706,0.4059227,0.2,0.6158785,0.26258,0.796876,0.3948677,0.2471281,0.0222
0.70605,0.3960019,0.2,0.6180178,0.26341,0.7969325,0.3985516,0.2398927,0.022
0.7061,0.3942296,0.2,0.628927,0.26383,0.796989,0.4074868,0.2341113,0.0224
0.70615,0.4046448,0.2,0.6424895,0.26336,0.7970455,0.4158502,0.235369,0.022
0.7062,0.424502,0.2,0.655388,0.26223,0.797102,0.4217021,0.2426834,0.0218
0.70625,0.4427918,0.2,0.6647696,0.26189,0.7971585,0.4253092,0.2497811,0.0193
0.7063,0.4448964,0.2,0.6685578,0.26163,0.797215,0.4278136,0.2495454,0.0168
0.70635,0.440311,0.2,0.671672,0.26311,0.7972715,0.4311128,0.2457586,0.0119
0.7064,0.4386179,0.2,0.6729664,0.26474,0.797328,0.4324549,0.2442854,0.0114
0.70645,0.4450664,0.2,0.6793508,0.26558,0.7973845,0.4360972,0.2455994,0.0116
0.7065,0.4362128,0.2,0.685102,0.26537,0.797441,0.4424033,0.2382387,0.0122
0.70655,0.3971617,0.2,0.6769015,0.26471,0.7974975,0.4451231,0.2159422,0.0125
0.7066,0.3701166,0.2,0.6625654,0.26408,0.797554,0.4408812,0.2016411,0.0145
0.70665,0.3646053,0.2,0.65334,0.26238,0.7976105,0.4348484,0.2013483,0.017
0.7067,0.3699261,0.2,0.6468017,0.26028,0.797667,0.4279175,0.2085896,0.0184
0.70675,0.367734,0.2,0.6328402,0.25791,0.7977235,0.4170965,0.2131802,0.0184
0.7068,0.3911323,0.2,0.6394204,0.25797,0.79778,0.4165051,0.2275345,0.017
0.70685,0.399772,0.2,0.6499196,0.2601,0.7978365,0.4228236,0.2290457,0.0172
0.7069,0.40281,0.2,0.6491904,0.26181,0.797893,0.421545,0.2313908,0.0162
0.70695,0.4032455,0.2,0.643792,0.26162,0.7979495,0.4171852,0.2339123,0.0159
0.707,0.4063224,0.2,0.6330359,0.25965,0.798006,0.4080894,0.2403394,0.0146
0.70705,0.4207683,0.2,0.6345824,0.25923,0.7980625,0.4063664,0.2486414,0.0144
0.7071,0.4370572,0.3,0.6384562,0.25915,0.798119,0.4062797,0.2565322,0.0123
0.70715,0.4408604,0.2,0.6411738,0.25961,0.7981755,0.407661,0.2576051,0.0132
0.7072,0.425342,0.2,0.6453084,0.26062,0.798232,0.4137323,0.2471413,0.0139
0.70725,0.4124943,0.2,0.652374,0.26299,0.7982885,0.4218922,0.2364109,0.0163
0.7073,0.4117854,0.2,0.659462,0.26483,0.798345,0.4276249,0.2330884,0.0158
0.70735,0.4081128,0.2,0.6588985,0.26399,0.7984015,0.4280135,0.2309165,0.0189
0.7074,0.4136034,0.2,0.6522376,0.26083,0.798458,0.4215444,0.2371726,0.0179
0.70745,0.422774,0.2,0.6447726,0.25754,0.7985145,0.4138281,0.2458167,0.0176
0.7075,0.4279308,0.2,0.6407705,0.25735,0.798571,0.4097394,0.2504385,0.0157
0.70755,0.4336246,0.2,0.6287806,0.2579,0.7986275,0.399553,0.2583238,0.0153
0.7076,0.4412344,0.2,0.6205054,0.25901,0.798684,0.3920222,0.2656177,0.0141
0.70765,0.4396157,0.2,0.6238959,0.25961,0.7987405,0.3948345,0.2634692,0.0132
0.7077,0.4388701,0.2,0.6313576,0.26137,0.798797,0.4005823,0.2602338,0.0114
0.70775,0.4441922,0.2,0.6332492,0.26283,0.7988535,0.4010942,0.2623967,0.0081
0.7078,0.4403918,0.2,0.6345054,0.26269,0.79891,0.4026956,0.2598709,0.0073
0.70785,0.429016,0.2,0.6355046,0.26078,0.7989665,0.405504,0.2531155,0.0076
0.7079,0.4249164,0.2,0.6339732,0.2598,0.799023,0.405103,0.251334,0.0106
0.70795,0.4317762,0.2,0.6391622,0.26059,0.7990795,0.4077838,0.2532819,0.0108
0.708,0.4307536,0.2,0.657803,0.26227,0.799136,0.4223042,0.2454837,0.0125
0.70805,0.4250775,0.2,0.6729407,0.26205,0.7991925,0.4352848,0.2361497,0.0156
0.7081,0.4288332,0.2,0.6724386,0.26013,0.799249,0.4340798,0.2386558,0.0176
0.70815,0.433239,0.2,0.6651161,0.2591,0.7993055,0.4274636,0.2441304,0.0174
0.7082,0.4267866,0.2,0.6553298,0.25903,0.799362,0.4211897,0.2440839,0.0184
0.70825,0.4216742,0.2,0.6451264,0.25901,0.7994185,0.4143221,0.245014,0.0198
0.7083,0.4180624,0.2,0.6346618,0.25753,0.799475,0.4069581,0.2469827,0.0185
0.70835,0.4211004,0.2,0.6361118,0.25929,0.7995315,0.4074786,0.2482344,0.0158
0.7084,0.4193305,0.2,0.639009,0.26112,0.799588,0.4100622,0.24602,0.0141
0.70845,0.4093678,0.2,0.63983,0.26239,0.7996445,0.412747,0.2395049,0.0141
0.7085,0.4136584,0.2,0.6394298,0.262,0.799701,0.4115383,0.242368,0.0138
0.70855,0.424431,0.2,0.6406223,0.26241,0.7997575,0.410301,0.2484387,0.0125
0.7086,0.4204321,0.2,0.6416428,0.26249,0.799814,0.4118774,0.2456415,0.0125
0.70865,0.4146837,0.2,0.6451177,0.2615,0.7998705,0.415751,0.2407189,0.0126
0.7087,0.4204987,0.2,0.6501309,0.26083,0.799927,0.4184426,0.2423175,0.0141
0.70875,0.4245842,0.2,0.6530499,0.26103,0.7999835,0.4198705,0.2436513,0.0157
0.7088,0.421054,0.2,0.6480186,0.25928,0.80004,0.4166885,0.2434935,0.0166
0.70885,0.4201751,0.2,0.6412226,0.25747,0.8000965,0.4116039,0.2456526,0.0165
